publisher	Nombre	Votos	Promedio
publisher	Gamesinitaly	3	5.666666666666667
publisher	Gamewright	10	6.6
publisher	Gamewright	11	6.7272727272727275
publisher	Gamewright	7	6.571428571428571
publisher	Gamewright	7	6.571428571428571
publisher	GeGe Co Ltd	3	6.333333333333333
publisher	GeGe Co Ltd	3	6.333333333333333
publisher	GeGe Co Ltd	5	7.4
publisher	GeGe Co Ltd	6	7.5
publisher	Geoludie	3	7.666666666666667
publisher	Ghenos Games	4	5.75
publisher	Ghenos Games	6	6.5
publisher	Gibsons Games	3	6.666666666666667
publisher	Gibsons Games	4	6.75
publisher	Gibsons Games	6	7
publisher	Gigamic	21	6.9523809523809526
publisher	Gigamic	21	6.9523809523809526
publisher	Gigamic	23	6.913043478260869
publisher	Gigamic	25	7
publisher	Giochi Uniti	13	8
publisher	Giochi Uniti	16	7.875
publisher	Giochi Uniti	3	7.666666666666667
publisher	Giochi Uniti	51	7.254901960784314
publisher	Giochi Uniti	53	7.283018867924528
publisher	Giochi Uniti	64	7.234375
publisher	Giochi Uniti	72	7.125
publisher	Giochix.it	3	4.666666666666667
publisher	Giochix.it	3	4.666666666666667
publisher	Giochix.it	3	4.666666666666667
publisher	Giochix.it	5	6
publisher	Granna	3	7.333333333333333
publisher	Granna	3	7.333333333333333
publisher	Granna	3	7.333333333333333
publisher	Granna	3	7.333333333333333
publisher	Grow Jogos e Brinquedos	24	7.291666666666667
publisher	Grow Jogos e Brinquedos	24	7.291666666666667
publisher	Grow Jogos e Brinquedos	28	7.107142857142857
publisher	Grow Jogos e Brinquedos	32	7
publisher	Grow Jogos e Brinquedos	4	8.25
publisher	Grow Jogos e Brinquedos	5	8
publisher	Gryphon Games	3	7
publisher	Gém Klub Kft.	15	7.4
publisher	Gém Klub Kft.	15	7.4
publisher	Gém Klub Kft.	20	7.4
publisher	Gém Klub Kft.	23	7.260869565217392
publisher	Gém Klub Kft.	3	8.666666666666666
publisher	Gém Klub Kft.	4	9
publisher	Gém Klub Kft.	5	8.8
publisher	H. Baron	3	7.666666666666667
publisher	HEMA	3	7.333333333333333
publisher	HEMA	3	7.333333333333333
publisher	HUCH! & friends	11	8.181818181818182
publisher	HUCH! & friends	11	8.181818181818182
publisher	HUCH! & friends	12	8.083333333333334
publisher	HUCH! & friends	13	8.153846153846153
publisher	HaKubia	10	7.9
publisher	HaKubia	11	7.636363636363637
publisher	HaKubia	3	8.333333333333334
publisher	HaKubia	3	8.333333333333334
publisher	HaKubia	9	8
publisher	HaKubia	9	8
publisher	Hall Games	3	7
publisher	Hanayama	7	8
publisher	Hanayama	7	8
publisher	Hanayama	8	7.875
publisher	Hanayama	9	7.555555555555555
publisher	Hans im Glück Verlags-GmbH	11	7.454545454545454
publisher	Hans im Glück Verlags-GmbH	16	7.625
publisher	Hans im Glück Verlags-GmbH	3	8
publisher	Hans im Glück Verlags-GmbH	3	8
publisher	Hans im Glück Verlags-GmbH	56	7.232142857142857
publisher	Hans im Glück Verlags-GmbH	57	7.245614035087719
publisher	Hans im Glück Verlags-GmbH	63	7.190476190476191
publisher	Hans im Glück Verlags-GmbH	76	7.184210526315789
publisher	Hartung-Spiele	4	7.75
publisher	Hartung-Spiele	6	7.666666666666667
publisher	Hasbro	14	5.214285714285714
publisher	Hasbro	15	5.266666666666667
publisher	Hasbro	20	5.35
publisher	Hasbro	22	5.454545454545454
publisher	Hausemann & Hötte N.V.	3	7.666666666666667
publisher	Heidelberger Spieleverlag	115	7.026086956521739
publisher	Heidelberger Spieleverlag	122	7.024590163934426
publisher	Heidelberger Spieleverlag	15	7.533333333333333
publisher	Heidelberger Spieleverlag	29	7.655172413793103
publisher	Heidelberger Spieleverlag	3	8.333333333333334
publisher	Heidelberger Spieleverlag	37	7.702702702702703
publisher	Heidelberger Spieleverlag	86	6.790697674418604
publisher	Heidelberger Spieleverlag	89	6.853932584269663
publisher	Heraclio Fournier	3	6.666666666666667
publisher	Heraclio Fournier	3	6.666666666666667
publisher	Hexagonal	3	7.333333333333333
publisher	Hexagonal	3	7.333333333333333
publisher	Hexagonal	3	7.333333333333333
publisher	Hexagonal	3	7.333333333333333
publisher	Hobby	3	8
publisher	Hobby	3	8
publisher	Hobby Japan	101	7.207920792079208
publisher	Hobby Japan	121	7.206611570247934
publisher	Hobby Japan	13	7.846153846153846
publisher	Hobby Japan	3	7.666666666666667
publisher	Hobby Japan	4	6.75
publisher	Hobby Japan	77	7.0519480519480515
publisher	Hobby Japan	79	7.0886075949367084
publisher	Hobby Japan	9	7.666666666666667
publisher	Hobby World	123	7.097560975609756
publisher	Hobby World	136	7.117647058823529
publisher	Hobby World	23	8
publisher	Hobby World	28	7.964285714285714
publisher	Hobby World	6	7.666666666666667
publisher	Hobby World	8	7.875
publisher	Hobby World	94	6.9787234042553195
publisher	Hobby World	96	7.010416666666667
publisher	Holdson	3	7.666666666666667
publisher	Homas Spelen	3	7.666666666666667
publisher	HomoLudicus	3	7.333333333333333
publisher	HomoLudicus	3	7.333333333333333
publisher	HomoLudicus	39	6.846153846153846
publisher	HomoLudicus	41	6.926829268292683
publisher	HomoLudicus	54	7.055555555555555
publisher	HomoLudicus	60	7.15
publisher	House Martin	3	7.666666666666667
publisher	House of Marbles	3	7.666666666666667
publisher	House of Staunton	3	7.666666666666667
publisher	Hurrican	4	7.25
publisher	Hurrican	4	7.25
publisher	Hurrican	5	7.2
publisher	Hurrican	5	7.2
